x,y,depth,porosity,hydrocarbon_fraction,dielectric_constant,node_id
0,0,177.996314,0.396542,0.116625,2.557104,0
1,0,185.98173,0.345608,0.11843,2.528178,1
2,0,184.181359,0.353429,0.118683,2.597227,2
3,0,166.710211,0.328877,0.152524,2.529058,3
4,0,180.749824,0.328444,0.158395,2.580203,4
5,0,174.379008,0.248707,0.198668,2.676206,5
6,0,186.778797,0.248521,0.24371,2.706953,6
7,0,190.228512,0.206624,0.256486,2.645617,7
8,0,163.515419,0.192307,0.138112,2.6577,8
9,0,195.252506,0.155619,0.200848,2.636229,9
0,1,224.059557,0.394122,0.121817,2.568715,10
1,1,233.699066,0.382553,0.148841,2.58143,11
2,1,213.540571,0.336764,0.119791,2.5709,12
3,1,207.252734,0.373382,0.148706,2.505643,13
4,1,231.102468,0.330659,0.21736,2.682552,14
5,1,196.386739,0.275897,0.302953,2.714638,15
6,1,222.603564,0.22446,0.361378,2.82741,16
7,1,232.454035,0.243362,0.3553,2.918429,17
8,1,211.887643,0.192256,0.34755,2.771304,18
9,1,220.735306,0.168663,0.280089,2.794518,19
0,2,230.856847,0.394127,0.113965,2.466198,20
1,2,285.482879,0.383871,0.136073,2.543991,21
2,2,283.52534,0.35447,0.184572,2.645947,22
3,2,280.260936,0.306448,0.217059,2.668002,23
4,2,299.155817,0.301624,0.301918,2.71331,24
5,2,254.707158,0.28008,0.407896,2.783051,25
6,2,278.694741,0.2818,0.461746,2.924473,26
7,2,274.005343,0.243108,0.440244,2.855648,27
8,2,295.047773,0.204398,0.433565,2.837592,28
9,2,255.969286,0.207236,0.316009,2.759463,29
0,3,309.959018,0.375174,0.165207,2.515155,30
1,3,347.101766,0.375619,0.234191,2.655056,31
2,3,303.801492,0.325046,0.302392,2.739663,32
3,3,323.831154,0.293048,0.362807,2.821668,33
4,3,306.937281,0.31647,0.410503,2.803131,34
5,3,302.549458,0.281686,0.411614,2.943457,35
6,3,277.757974,0.259741,0.529535,2.942376,36
7,3,332.06583,0.245368,0.593298,3.025547,37
8,3,315.305768,0.213601,0.476589,2.952582,38
9,3,307.582126,0.202668,0.343074,2.839978,39
0,4,353.157289,0.412185,0.244292,2.745453,40
1,4,350.015407,0.369636,0.304227,2.783781,41
2,4,369.523166,0.361499,0.401051,2.778831,42
3,4,352.135226,0.332655,0.411711,2.794295,43
4,4,330.090136,0.314374,0.512001,2.952281,44
5,4,356.153104,0.248117,0.498032,2.934028,45
6,4,356.785679,0.263792,0.51432,2.9174,46
7,4,335.172001,0.24919,0.54943,3.003787,47
8,4,314.478547,0.249765,0.459629,2.933994,48
9,4,382.228602,0.177996,0.321143,2.792359,49
0,5,396.309217,0.391157,0.319166,2.69176,50
1,5,384.913713,0.376805,0.369484,2.779252,51
2,5,386.994056,0.39116,0.475357,2.951828,52
3,5,446.968958,0.332517,0.587315,2.948082,53
4,5,398.504792,0.291292,0.549354,3.004601,54
5,5,361.159486,0.272638,0.559389,2.964245,55
6,5,354.775102,0.262647,0.497531,2.928976,56
7,5,400.110359,0.27142,0.453629,2.901416,57
8,5,390.844485,0.18758,0.304715,2.798986,58
9,5,369.26504,0.170436,0.271621,2.709498,59
0,6,390.37894,0.412868,0.2374,2.614362,60
1,6,433.283394,0.405996,0.444534,2.880273,61
2,6,419.860925,0.336223,0.58722,3.066548,62
3,6,491.94484,0.336415,0.709439,3.104605,63
4,6,428.006058,0.308374,0.643613,3.16931,64
5,6,424.802766,0.249788,0.536694,2.99385,65
6,6,391.399891,0.226364,0.392165,2.748011,66
7,6,438.213949,0.226825,0.286491,2.704294,67
8,6,437.925372,0.163984,0.195357,2.696697,68
9,6,428.56712,0.195816,0.213903,2.752136,69
0,7,464.629588,0.386783,0.247737,2.620736,70
1,7,478.497941,0.378682,0.324427,2.707553,71
2,7,504.903671,0.358547,0.512717,2.913503,72
3,7,472.744384,0.314838,0.584828,2.932155,73
4,7,507.204216,0.303446,0.539167,3.003177,74
5,7,486.058588,0.263519,0.441014,2.819763,75
6,7,460.204631,0.261708,0.29408,2.837747,76
7,7,483.951478,0.190834,0.223897,2.67554,77
8,7,481.029588,0.21376,0.166359,2.531268,78
9,7,497.421676,0.195452,0.108781,2.680091,79
0,8,529.850678,0.358889,0.259965,2.575541,80
1,8,495.458962,0.380623,0.343844,2.843929,81
2,8,521.282426,0.313288,0.408772,2.792126,82
3,8,540.72289,0.317363,0.434754,2.780775,83
4,8,501.114715,0.338506,0.401177,2.823174,84
5,8,527.662085,0.263984,0.306654,2.753779,85
6,8,530.24907,0.288574,0.185794,2.617148,86
7,8,538.156938,0.213202,0.1421,2.603051,87
8,8,527.09537,0.200755,0.150758,2.617157,88
9,8,530.932571,0.176336,0.149925,2.66433,89
0,9,541.07784,0.382804,0.158537,2.529592,90
1,9,557.161158,0.392871,0.176337,2.65852,91
2,9,530.13569,0.351596,0.320226,2.712083,92
3,9,553.491121,0.296898,0.26994,2.716876,93
4,9,544.342378,0.286854,0.238468,2.76548,94
5,9,551.287829,0.261179,0.202032,2.698235,95
6,9,571.101929,0.26297,0.143011,2.631277,96
7,9,578.389192,0.217879,0.179224,2.604362,97
8,9,572.802757,0.228366,0.113896,2.578378,98
9,9,546.653291,0.191233,0.086102,2.518671,99
